DoseRespID,ObsID,Dose,DoseUnit,TotalAnimals,WithTumours
30494,4066,0,mg/kg bw,50,0
30495,4067,0,mg/kg bw,50,0
832,4074,0,ppm,50,0
833,4075,0,ppm,50,0
30507,4081,0,ppm,50,1
30546,4121,0,mg/kg bw,50,0
30547,4123,0,ppm,50,0
30559,4136,0,mg/kg bw,50,0
30560,4137,0,ppm,50,2
838,4150,0,ppm,49,0
839,4151,0,ppm,49,0
30581,4161,0,mg/kg bw,50,1
30582,4162,0,ppm,50,0
842,4173,0,mg/kg bw,98,0
30600,4184,0,ppm,50,0
30601,4185,0,ppm,50,0
30608,4193,0,mg/kg bw,98,1
850,4218,0,mg/kg bw,50,0
30630,4223,0,ppm,50,0
30648,4244,0,mg/kg bw,50,1
30661,4257,0,ppm,50,0
30689,4291,0,mg/kg bw,50,0
30690,4293,0,ppm,50,1
30691,4294,0,ppm,50,0
30737,4347,0,ppm,50,0
30748,4360,0,mg/kg bw,50,0
30749,4361,0,mg/kg bw,50,0
30764,4379,0,mg/kg bw,50,1
30765,4380,0,mg/kg bw,50,0
900,4479,0,mg/kg bw,50,4
30839,4480,0,mg/kg bw,50,6
30844,4485,0,ppm,50,1
30845,4486,0,ppm,50,6
30886,4552,0,ppm,54,1
30887,4553,0,ppm,106,1
30928,4604,0,mg/kg bw,50,3
30929,4605,0,mg/kg bw,50,2
30930,4606,0,mg/kg bw,50,0
30932,4610,0,ppm,50,0
30933,4611,0,ppm,50,1
30954,4641,0,mg/kg bw,86,0
30984,4674,0,mg/kg bw,50,0
30985,4676,0,ppm,50,0
31003,4697,0,mg/kg bw,50,1
31004,4698,0,mg/kg bw,50,0
31005,4700,0,ppm,50,0
961,4728,0,ppm,49,0
962,4729,0,ppm,49,0
31049,4753,0,mg/kg bw,50,2
31050,4755,0,ppm,50,2
967,4773,0,mg/kg bw,98,0
31084,4794,0,ppm,50,0
31085,4795,0,ppm,50,0
31086,4796,0,mg/kg bw,98,1
970,4804,0,mg/kg bw,50,0
977,4815,0,ppm,49,0
978,4816,0,ppm,49,0
31108,4827,0,ppm,50,1
31116,4835,0,mg/kg bw,50,1
31157,4885,0,mg/kg bw,50,0
31160,4889,0,ppm,50,1
31210,4946,0,mg/kg bw,50,0
31213,4949,0,ppm,50,1
31227,4964,0,mg/kg bw,50,1
998,4968,0,mg/kg bw,50,0
31235,4975,0,mg/kg bw,50,1
31260,5008,0,ppm,50,0
31261,5009,0,ppm,50,1
31273,5021,0,mg/kg bw,98,1
31281,5030,0,mg/kg bw,50,0
31293,5044,0,mg/kg bw,50,0
31312,5069,0,mg/kg bw,50,1
31339,5100,0,mg/kg bw,50,0
1021,5101,0,mg/kg bw,50,0
31342,5104,0,ppm,50,0
31343,5105,0,ppm,50,0
31354,5116,0,mg/kg bw,98,0
31373,5137,0,ppm,50,0
31374,5138,0,ppm,50,0
31377,5142,0,mg/kg bw,15,1
31380,5146,0,ppm,54,1
31381,5147,0,ppm,107,1
31382,5148,0,ppm,54,1
31383,5149,0,ppm,106,1
1045,5200,0,mg/kg bw,50,2
1046,5201,0,mg/kg bw,50,2
31417,5206,0,ppm,50,2
31418,5207,0,ppm,50,4
31447,5256,0,ppm,50,0
31448,5257,0,ppm,50,0
1078,5308,0,mg/kg bw,50,1
31490,5309,0,mg/kg bw,50,0
31493,5315,0,ppm,50,2
31494,5316,0,ppm,50,0
31520,5349,0,mg/kg bw,98,2
31539,5371,0,ppm,54,2
31540,5372,0,ppm,106,3
31634,5490,0,ppm,50,1
31645,5504,0,mg/kg bw,98,0
31656,5515,0,ppm,50,0
31657,5516,0,ppm,50,0
31662,5525,0,mg/kg bw,50,1
31668,5531,0,ppm,106,1
31670,5534,0,mg/kg bw,50,0
32042,5922,0,mg/kg bw,30,1
32201,6093,0,ppm,50,0
32217,6111,0,ppm,50,0
32226,6123,0,mg/kg bw,50,1
32237,6135,0,mg/kg bw,50,0
32252,6153,0,mg/kg bw,98,1
32259,6163,0,mg/kg bw,50,0
32261,6167,0,ppm,54,1
32262,6168,0,ppm,107,1
32263,6169,0,ppm,50,0
32281,6190,0,mg/kg bw,50,0
32284,6193,0,ppm,50,1
32316,6236,0,mg/kg bw,50,0
32317,6238,0,ppm,50,0
32338,6264,0,ppm,50,0
32339,6265,0,ppm,50,0
1186,6286,0,ppm,50,0
1187,6287,0,ppm,50,0
32365,6297,0,ppm,106,1
32384,6322,0,ppm,50,0
32385,6323,0,ppm,50,0
32400,6344,0,ppm,50,0
32415,6363,0,ppm,50,0
32416,6364,0,ppm,50,0
32417,6365,0,ppm,54,1
32418,6366,0,ppm,107,1
32419,6367,0,ppm,50,0
32434,6386,0,mg/kg bw,50,0
32436,6388,0,ppm,50,1
1210,6403,0,ppm,49,0
1211,6404,0,ppm,49,0
32469,6431,0,mg/kg bw,50,1
1222,6446,0,mg/kg bw,98,0
32489,6457,0,ppm,50,0
32490,6458,0,ppm,50,0
1231,6497,0,ppm,50,0
1232,6498,0,ppm,50,0
32548,6534,0,mg/kg bw,50,1
32551,6538,0,mg/kg bw,50,0
32552,6539,0,ppm,50,0
32554,6541,0,ppm,50,0
32558,6545,0,mg/kg bw,50,0
32559,6546,0,ppm,106,1
32567,6554,0,mg/kg bw,50,1
32568,6555,0,ppm,50,0
32579,6568,0,mg/kg bw,50,2
1247,6573,0,mg/kg bw,98,0
32600,6598,0,ppm,50,1
32613,6611,0,ppm,106,2
32650,6666,0,mg/kg bw,50,0
32707,6733,0,ppm,54,1
32708,6734,0,ppm,107,1
1286,6751,0,mg/kg bw,50,0
32723,6753,0,ppm,50,1
32741,6772,0,ppm,50,0
32762,6796,0,mg/kg bw,50,1
1295,6810,0,mg/kg bw,98,0
32781,6821,0,ppm,50,0
32782,6822,0,ppm,50,0
32814,6855,0,ppm,50,1
32815,6856,0,ppm,50,0
32825,6871,0,ppm,50,0
32826,6872,0,ppm,50,0
1303,6880,0,ppm,50,0
1304,6881,0,ppm,50,0
32834,6882,0,mg/kg bw,50,0
32836,6884,0,ppm,50,0
32837,6885,0,ppm,50,0
32868,6920,0,mg/kg bw,50,1
32883,6940,0,mg/kg bw,50,0
32893,6950,0,ppm,54,1
32894,6951,0,ppm,107,1
32895,6952,0,ppm,50,0
32911,6974,0,mg/kg bw,50,1
32912,6975,0,mg/kg bw,50,1
32915,6980,0,ppm,50,0
32916,6981,0,ppm,50,1
32935,7005,0,ppm,50,0
32956,7028,0,mg/kg bw,50,1
32983,7061,0,ppm,50,0
32984,7062,0,ppm,50,0
33023,7107,0,ppm,54,1
33024,7108,0,ppm,106,1
33044,7137,0,ppm,50,0
33045,7138,0,ppm,50,0
33069,7171,0,mg/kg bw,50,0
33072,7177,0,ppm,50,0
33073,7178,0,ppm,50,0
1369,7221,0,mg/kg bw,50,0
33128,7245,0,ppm,50,0
33159,7283,0,ppm,50,0
33160,7284,0,ppm,50,0
33182,7306,0,mg/kg bw,50,2
33184,7308,0,ppm,50,0
33185,7309,0,ppm,50,1
33200,7327,0,ppm,50,0
33234,7368,0,mg/kg bw,50,3
33235,7369,0,mg/kg bw,50,1
1398,7400,0,mg/kg bw,98,0
33274,7421,0,ppm,50,0
33275,7422,0,ppm,50,0
33305,7459,0,ppm,50,0
33320,7476,0,ppm,50,0
33321,7477,0,ppm,50,1
33363,7535,0,mg/kg bw,50,1
1428,7536,0,mg/kg bw,50,2
33368,7541,0,ppm,50,0
33369,7542,0,ppm,50,0
33370,7543,0,ppm,50,1
1438,7569,0,mg/kg bw,98,1
33417,7607,0,ppm,54,1
33418,7608,0,ppm,107,2
1446,7609,0,ppm,54,1
1447,7610,0,ppm,106,4
33438,7633,0,mg/kg bw,50,1
33439,7634,0,ppm,50,0
1456,7650,0,mg/kg bw,98,0
33465,7666,0,ppm,50,0
33466,7667,0,ppm,50,0
1457,7668,0,ppm,50,0
1458,7669,0,ppm,50,0
33474,7677,0,ppm,50,0
33484,7692,0,ppm,50,0
1466,7700,0,ppm,54,2
1467,7701,0,ppm,106,3
33491,7703,0,ppm,50,0
1468,7709,0,mg/kg bw,80,0
33529,7746,0,ppm,54,1
33530,7747,0,ppm,106,1
33570,7797,0,mg/kg bw,50,0
1486,7815,0,mg/kg bw,80,0
33605,7837,0,mg/kg bw,50,1
33606,7840,0,ppm,50,0
33607,7841,0,ppm,50,0
33610,7845,0,mg/kg bw,50,1
33611,7847,0,ppm,50,0
1492,7850,0,mg/kg bw,50,0
33638,7880,0,mg/kg bw,50,0
33672,7923,0,mg/kg bw,50,0
33714,7974,0,mg/kg bw,50,1
33715,7975,0,mg/kg bw,50,0
33716,7976,0,mg/kg bw,50,0
1520,7981,0,ppm,50,0
33717,7982,0,ppm,50,0
33736,8003,0,mg/kg bw,98,0
33757,8028,0,ppm,50,0
33758,8029,0,ppm,50,0
33759,8030,0,ppm,50,0
1528,8037,0,mg/kg bw,15,0
1529,8038,0,mg/kg bw,15,0
33771,8055,0,ppm,54,1
33772,8056,0,ppm,107,1
33773,8057,0,ppm,54,1
33774,8058,0,ppm,106,1
1560,8114,0,mg/kg bw,50,3
33808,8115,0,mg/kg bw,50,8
1563,8120,0,ppm,50,2
33811,8121,0,ppm,50,6
1585,8175,0,ppm,49,0
1586,8176,0,ppm,50,0
33844,8177,0,ppm,50,0
33845,8178,0,ppm,50,0
1608,8292,0,mg/kg bw,50,2
33938,8293,0,mg/kg bw,50,0
1612,8301,0,ppm,50,7
33943,8302,0,ppm,50,0
33970,8343,0,mg/kg bw,98,2
33999,8379,0,ppm,54,2
34000,8380,0,ppm,106,4
34073,8470,0,mg/kg bw,98,0
34074,8471,0,mg/kg bw,10,1
1648,8474,0,ppm,49,0
1649,8475,0,ppm,49,0
34083,8484,0,mg/kg bw,50,0
34130,8541,0,mg/kg bw,50,0
1663,8543,0,mg/kg bw,86,0
34133,8550,0,ppm,54,1
34134,8551,0,ppm,107,1
34176,8598,0,ppm,50,0
34186,8608,0,mg/kg bw,50,0
34187,8609,0,mg/kg bw,50,0
34214,8651,0,mg/kg bw,50,0
34215,8652,0,mg/kg bw,50,1
34217,8655,0,ppm,50,0
1686,8656,0,ppm,50,1
34239,8685,0,mg/kg bw,98,0
34257,8707,0,ppm,50,0
34258,8708,0,ppm,107,1
34286,8739,0,mg/kg bw,50,0
34288,8743,0,ppm,50,0
34309,8766,0,mg/kg bw,50,0
34318,8777,0,ppm,50,0
34333,8794,0,ppm,50,0
34426,8909,0,mg/kg bw,50,0
34427,8910,0,mg/kg bw,50,0
34430,8914,0,ppm,50,0
1736,8930,0,mg/kg bw,98,0
1737,8941,0,ppm,50,0
1738,8942,0,ppm,50,0
34457,8951,0,mg/kg bw,50,0
34465,8965,0,ppm,50,0
34466,8966,0,ppm,50,0
34467,8967,0,ppm,50,0
1752,8977,0,mg/kg bw,98,0
34476,8981,0,ppm,54,1
34477,8982,0,ppm,107,1
34508,9018,0,mg/kg bw,50,1
34509,9019,0,ppm,50,0
34523,9034,0,ppm,50,0
34524,9035,0,ppm,107,1
34556,9075,0,mg/kg bw,50,0
34635,9172,0,mg/kg bw,50,0
1784,9173,0,mg/kg bw,50,1
34637,9178,0,ppm,50,0
34638,9179,0,ppm,50,0
34698,9266,0,mg/kg bw,50,1
1818,9271,0,ppm,50,0
34732,9318,0,mg/kg bw,30,2
1876,9430,0,mg/kg bw,50,6
1877,9431,0,mg/kg bw,50,24
34801,9432,0,mg/kg bw,50,2
34802,9433,0,mg/kg bw,50,0
1881,9441,0,ppm,50,5
1882,9442,0,ppm,50,11
34807,9443,0,ppm,50,0
34808,9444,0,ppm,50,2
1907,9503,0,mg/kg bw,80,0
34876,9549,0,ppm,50,0
34877,9550,0,ppm,50,0
34878,9551,0,ppm,54,1
34879,9552,0,ppm,106,2
34887,9564,0,mg/kg bw,30,2
1959,9680,0,mg/kg bw,50,4
1960,9681,0,mg/kg bw,50,15
1961,9682,0,mg/kg bw,50,0
34968,9688,0,ppm,50,0
34969,9689,0,ppm,50,8
34970,9690,0,ppm,50,0
34971,9691,0,ppm,50,0
35017,9766,0,ppm,50,0
35018,9767,0,ppm,106,1
35041,9798,0,mg/kg bw,50,1
35123,9905,0,mg/kg bw,50,2
35124,9906,0,mg/kg bw,50,0
35125,9907,0,mg/kg bw,50,0
2034,9914,0,ppm,50,0
2035,9915,0,ppm,50,0
35163,9963,0,mg/kg bw,98,0
35195,10000,0,ppm,50,0
35196,10001,0,ppm,50,0
35197,10002,0,ppm,50,0
